net_store,city,address,name,regular_price,prom_price,discount,link_to_image
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Петмол для взбивания 33% ультрапастеризованные 500мл,"309,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/83c/83c3700c8627e4e28b6a5eb90a35e429/2cb4bb433034d45f5947edab16aea4fd.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Яйца С1 30шт цвет в ассортименте,"309,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/53d/53d3b1430be06d2615c9691f6bd97d70/ddf626538c393b55b4a68684b2f7bb12.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Крем Альпенгурт взбитый Кулинар ультрапастеризованный 26.5% 250г,"299,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/341/34139f1f1cf9aa8dd9f773d76c237dda/1c54d1a3e7527562eae60b70a4abb7fa.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Parmalat стерилизованные 23% 500мл,"259,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/537/537f5e5cf57df596641fcaf653a04aac/86f76cb3c9ed09cf107ea5ebea71d3dc.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Простоквашино ультрапастеризованные 20% 500г,"219,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/1ad/1ad239d02d7ef7e05a6d65f896e9ad54/41e9e34b86c9114b3900874af3dbc315.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Вкуснотеево Традиционное 82.5% 200г,"214,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/f11/f1169973a512e77fe03fb90d54e53fc7/d5ffeb30af83147cfb26dec6eba1e0c8.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Майонез Mr.Ricco на перепелином яйце 67% 750г,"199,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/806/8067d15193f01423e276f3128f36bdf0/f98e7b66b6439722909ea925ee16376a.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Экомилк 82.5% 180г,"199,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/a8c/a8c3c7d83cda0ac21a3f825a3763ebec/e11abc8df0359502fb2feeb263a3c6a7.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Напиток миндальный Planto Almond обогащенный кальцием ультрапастеризованный 1л,"199,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/4c8/4c868a23827ecd9a3729580ad2729824/f6d99f9c9c427097d26694d939db011a.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Майонез Слобода Оливковый 67% 800мл,"199,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/f45/f45ec4d409f2308970f6828cda598014/02bd27e38aac6f82575c344bb19a9592.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Напиток кокосовый Planto с рисом обогащенный кальцием ультрапастеризованный 1л,"199,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/3eb/3eb92eca2ccb9ad577216ae8230f0a1c/452ccce09c8f9c9e31ae57931a9b1617.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Домик в деревне 20% ультрапастеризованные 480мл,"198,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/bf2/bf2fc9433e6db7df8afe91c576ce0fd0/cb02ff6d09f20436410e72a618be4a78.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко Домик в деревне ультрапастеризованное 6% 928мл,"189,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/074/0744f08fce1df884207172b700b84d60/20c83c3effa8df52588396d250498d10.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Искренне Ваш 9% 500г,"219,99","179,99",18,https://img-dostavka.magnit.ru/resize/416x416/uf/25c/25c66ad433c7b31fdaafbfaf4e0b8ebd/f446867e0f15b9988822f5642d02ddfd.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Эконива ультрапастеризованные 10% 1л,"179,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/375/375057be8a7ae5dde83d535ecd51608e/cb2f64f1edc004075220f4086a15975e.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Вкуснотеево 5% 450г,"179,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/0a3/0a361b539e31addb964d660f4ed3e6d3/e688fe267a088b2c1af5fd83af100851.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко сгущенное Рогачевъ с сахаром 8.5% 380г,"169,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/b18/b181fb8a99649617d237cf77fb762ba1/02166062f93fca3396242a0a1be6ae3a.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Северное молоко Традиционное 82.5% 180г,"189,99","169,99",10,https://img-dostavka.magnit.ru/resize/416x416/uf/996/9966d1e2f12088ee39457378743bfa69/0bba69d056226d855f005cc1eb293c01.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Эконива 82.5% 180г,"229,99","169,99",26,https://img-dostavka.magnit.ru/resize/416x416/uf/1da/1dafd35b626f0615f081501275eab766/076bdac0b375dbaf9ab4ac930d429e4c.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко сгущенное Алексеевское вареное 8.5% 360г,"169,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/5f4/5f4fd90a063460ad6dfab9b58a142a79/715efd31f2a4cf2a6a808129c8e7da07.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Коровка из Кореновки 82.5% 170г,"164,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/a00/a00bbbfc3ed61ee5fe132fca2f3d71b3/c0fbaf2cb1bf1023d16bd38e731db038.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сладко-сливочное Брест-Литовск 82.5% 180г,"214,99","164,99",23,https://img-dostavka.magnit.ru/resize/416x416/uf/206/206dd08ccb504a72a8d21f2e18cda8df/38e05c0dd15b4922931b73d1798cf779.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Вкуснотеево для взбивания ультрапастеризованные 33% 250г,"159,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/837/837e349127671e7b07ca6e8febc6c981/b44b1cf60e4059636f1cf5163d0ee4f7.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Северное Молоко Крестьянское из Вологды 72.5% 180г,"179,99","159,99",11,https://img-dostavka.magnit.ru/resize/416x416/uf/d3a/d3af3d0272eed7199f3288cf687c951c/4d37fead72d1cccf29e1103bc940754f.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молочный коктейль Чудо Шоколад 2% 950г,"159,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/d2c/d2c63589ba5d86ea14c43b47d4180752/54d0ce35a83da87787f92a01f5f6b818.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молочный коктейль Чудо Клубника 2% 950мл,"159,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/9d5/9d5f8913f15819f3264cfa919b415c1d/2c73a339f042adc6f4f98cf731c2b0ba.png
